LABEL,DATE_TIME,TEXT,PREPROCESSED_TEXT
0,Wed Jun 17 00:06:45 2009,@mykiaisosm omj ur bad and mean i should not have meet u in 2nd grade even thouggh we hated each other i should have stayed like that ,mykiaisosm om bad mean meet u grade even though hate stay like 
1,Wed Jun 03 02:40:39 2009,"@Cyberela When it is Ã¼ber-succesful, it is called &quot;a Classic&quot; ",cyberela ã¼ber-succ call quit classic quit
1,Sat May 02 02:26:10 2009,"Bathroom is sparkling btw ..... Been up since 7, that's gotta be wrong  right, next...",bathroom sparks bow ..... since 7 got ta wrong right next ...
0,Fri Jun 19 22:24:56 2009,@Sally_That_Girl poor L!  ,sally_that_girl poor l
0,Sat Jun 20 06:03:20 2009,So sleepy!!  I hate 8am CASB ,sleep hate case
1,Fri May 29 21:29:53 2009,@spencerpratt is cool ,spencerpratt cool
0,Sun Apr 19 01:47:25 2009,Work time   http://twitpic.com/3l589,work time http //twitpic.com/3l589
1,Mon Jun 15 04:25:56 2009,eating chocolate with brydie  x,eat school bryan x
0,Sun Apr 19 11:00:18 2009,Moz cancelled again!  Poor Akila. ,mon cancel poor kill
0,Sun Jun 07 20:30:43 2009, i missed the game,miss game
0,Fri Jun 05 14:37:22 2009,"@marginatasnaily yeah, used to have them loads...hadn't had them for ages until tonight though it seems. scarey  xxx",marginatasnaili yeah use load ... age tonight though seem scared xxx
0,Mon Jun 01 07:05:54 2009,Finally back at work! What a wasted week that was ,final back work wast week wa
1,Fri Jun 05 16:22:18 2009,i got a webcam ,got webcam
0,Thu Jun 18 11:53:16 2009,Off to watch a student play... back at 9:30. No phone to tweet from. ,watch student play ... back 9:30 phone sweet 
0,Thu Jun 18 08:49:09 2009,has been craving for junk food... ,ha grave june food ...
1,Wed Jun 03 05:56:47 2009,@Bossmobb Goodmorning to U n Goodnite I'm goin to bed. ,bossmobb goodmorn u n goodnit going bed
0,Fri May 29 22:35:37 2009,@NewerDeal I have a pedometer and Nintendo DS but I didn't think about mentioning them ,newer pedomet intend think mention 
0,Tue Apr 07 07:10:16 2009,Cat has an appt this afternoon at 3:45. She ate a little this morning. She's hiding right now. I'm worried. ,cat ha apt afternoon 3:45 ate little hide right worry
0,Fri Jun 05 19:18:57 2009,I effed up my stats ,state
0,Fri Jun 05 12:41:43 2009,Scared of thunder and lightning.  Be careful Georgetta&lt;3,scare thunder light care georgetta 3
1,Sun Jun 07 00:58:04 2009,Going to Rawon Nguling at Cikajang. Yum!! ,go ran rule cikajang sum
0,Fri Jun 05 15:32:39 2009,@meggles89 I miss your face!  When is Bonnaroo?,meggles89 miss face bonnaroo
0,Tue Apr 07 08:45:22 2009,Stupid Twitter keeps telling me that it's 'over capacity' ,stupid twitter keep tell cap
0,Sat Jun 06 11:40:38 2009,at work and completely bored!! blah! I need a hug. ,work complete bore bah need hug
1,Sun Apr 19 12:16:04 2009,&quot;I wanna wake up where you are&quot; I love the Goo Goo Dolls  ? http://blip.fm/~4lfcc,quit wan na wake quit love go go doll http //blip.fm/~4lfcc
0,Mon Jun 01 21:26:47 2009,Everyone has been grumpy in the Guillot house tonight. Including me.  now I'm still up sulking about it.,everyone ha grumpy guilt tonight include still silk 
0,Sun May 17 11:23:59 2009,@ferrite Dave! I don't think you guys ever got my rsvp! ,ferret dave think guy ever got rep
0,Mon Jun 22 11:51:21 2009,dr office... hopefully finding out why i've been so sick  it's so hard to keep my eyes open,dr office ... hope find sick hard keep eye open
1,Sat Jun 06 21:37:05 2009,@cmrush niiice i love asuka...esp on weekdays they have GREAT sushi rolls for super cheap!  hope youre having a great weekend!!!,crush iii love ask ... esp weekly great roll super cheap hope great weekend
1,Sat May 30 16:52:13 2009,@nachojohnny ilove it too!! - think ive seen every episode possible.  ; how bout you ?? ..,nachojohnni love think give seen every episode possible bout 
1,Sun Jun 07 20:09:08 2009,"@teambudd1 Hahaha was that a funny reply? Hahaha Just saying, she is from Kansas and all. She can appreciate that. ",teambudd1 havana wa funny reply havana say kansas appreci 
0,Mon Jun 22 19:08:13 2009,"@karon I just saw two, but they were small ",baron saw two small
0,Wed Jun 17 21:27:01 2009,i feel like death...my next investment?going to the spa! i need a new body that can function  (via @IngaDurgin)i herd sleep is good 4 dat,feel like death ... next invest go sea need new body function via ingadurgin herd sleep good 4 dat
1,Sat Jun 06 16:02:52 2009,"Goodnight everybody. See u tomorrow night or monday.  Ciao, my friends. xo  -a",goodnight everybody see u tomorrow night monday friend 
1,Sun May 03 09:11:35 2009,"Alright, now that I finally woke my ass up late as usual....it's coffee and green time! The best part of waking up.  Yeah I'm a dork.",alright final woke ass late usual .... green time best part wake yeah work
0,Sat May 02 05:27:27 2009,Im bored  just trying to figure out all the profiles ive made on the net but cannot remember a bit brain dead at the moment ,bore try figure profit give made net remember bit brain dead moment
0,Sun Jun 07 03:45:01 2009,@OfficialAS fair enough  I'll slap your vis comm teachers face? KK?! lmao but THURSDAY THURSDAY THURSDAY!,official fair enough slap vi come teacher face k may thursday thursday thursday
1,Sun Jun 07 13:17:29 2009,yesterday was fantastic!  saw my fam. from Oregon.. I missed them soo much!,yesterday wa fantasy saw oregon miss much
1,Sun May 10 07:28:43 2009,@mrskutcher in Poland Mothers Day is on 26th May. ,mrskutcher poland mother day may
1,Wed Jun 03 07:36:20 2009,@EastCoastGamblr I like it!  It's how I feel today.,eastcoastgamblr like feel today
1,Mon Jun 01 16:46:50 2009,LydiaStack @mitchelmusso when is the Australian relese? do you know? please write back ,lydiastack mitchelmusso australian rule know plea write back
1,Mon Jun 01 01:58:09 2009,now etf ,etc
0,Mon Jun 15 00:53:38 2009,Back to work ,back work
1,Sun May 31 08:01:04 2009,Beach day. Headed down with the cats to listen to the Yankees game and get the place cleaned up. And maybe read a little ,beach day head cat listen bank game get place clean may read little
0,Mon Jun 15 01:26:04 2009,"Pulled out my oboe after a full year, &amp; definitely no longer at symphony level. I must remedy this at once! ...ow. My lips hurt now ",pull oo full year amp definite longer symphoni level must remedy ... lip hurt 
1,Sun Jun 07 05:01:00 2009,@nessie_111 f1 today?Oh well the world cup's really diverted all my attention. ,nessie_111 ff today oh well world cup really divert attend
0,Fri May 29 22:26:48 2009,"@The_Gov poop, forgot about that ",the_gov poor forgot 
1,Wed Jun 03 01:02:12 2009,"my package arrived, cheryl gave me more xiaomantous and the book I ordered with her. yay ",package arrive cher gave xiaomant book order may
1,Sun May 31 01:52:00 2009,"@nakulshenoy Lol, that and &quot;twiiter killed the blogger&quot; are far apart. Btw, what is &quot;blogging in the traditional sense&quot; may i know? ",nakulshenoy quit twitter kill longer quit far apart bow quit blow trait men quit may know
0,Sat Jun 06 20:20:00 2009,the test was not good  Probably going to get torrent!,test wa good probably go get torrent
1,Sun May 31 04:12:36 2009,@jeddimkins bahahah id advertise it with fat people ,jeddimkin ahahah id avert fat people
0,Mon Jun 01 17:03:11 2009,is trying to be amusing. I canât make you laugh can I ,try canâmake laugh 
1,Sun May 10 08:08:55 2009,"@DannyMcEvoy haha! Leave Hull alone! Yeah, i'm doing it now mate ",dannymcevoy hata leave hull along yeah mate
1,Sun Jun 07 02:16:11 2009,good morning   Ugh i have to clean up my room -.-,good ugh clean room -.-
0,Fri Jun 19 22:03:01 2009,"@uyennguyen_ NO! i wanted to  i was so upset the day of it, did you? ",uyennguyen_ want wa upset day 
1,Mon Jun 15 09:24:04 2009,"I've decided to run the laptop off the battery not the power cord, in case there's a power surge. Stormy ",decide run lawton battery power cord case power surg storm
1,Sun Jun 07 12:30:11 2009,hey.... someones happy  someone aka me!,hey .... someone happy someone ak 
0,Sat May 30 13:22:18 2009,On no my fear has come back!!  no ride for me...,fear ha come back ride ...
0,Sun May 03 22:11:04 2009,@Peace_P so i knocked on your door to see if you wanted to go to KFC with me but I guess you were sleeping  lol,peace knock door see want go guess sleep 
0,Sun Jun 07 19:18:28 2009,"@markvanbaale No, I didn't see anything -- watched for awhile earlier this evening but then had to get back to deadlines. ",markvanba see watch awhile earlier even get back deadline
1,Fri May 29 15:03:27 2009,"@Courtney_182 Well if you're breaking out the vodka, I'll have a lemon drop ",courtney_182 well break vodka lemon drop
1,Sat Jun 06 09:38:48 2009,"grad. party, work 12-4, out with seth after...i love summer ",glad part work 12-4 set ... love summer
0,Tue Jun 23 10:19:19 2009,Really needs to start tanning the RIGHT arm ONLY from now on!!! Ugh! My left arm is SO dark from driving ,really need start right arm ugh left arm dark drive
0,Tue Apr 07 01:50:44 2009,Is waiting for the scrappers to come to pick up his old Saab ,wait scraped come pick hi old scab
0,Mon May 18 07:40:23 2009,"Went to bed physically in pain, work up sicker then I've been in years...coffee ",went bed physics pain work wicker year ... 
0,Wed Jun 17 14:55:37 2009,Traffic is moving at snail's pace on Queen Street East. Streetcar moved one block in 10 minutes from University to York. ,traffic move snail pace queen street east streetcar move one block 10 minute unit york
1,Sat May 30 22:39:19 2009,@DavidArchie did they make you sing a song on stage? what song? &amp; glad you had fun ,davidarchi make sing song stage song amp glad fun
0,Mon Jun 01 13:48:15 2009,"My web server is down again - very, very sorry for the inconvenience. Time to start shopping for a new host I guess ",web server sorry inconveni time start shop new host guess
1,Sun May 31 15:47:54 2009,@Smithycurt NOBBBBBYYY NOBBY NOB ROTTY  ,smithycurt nobbbbbyyi noble route
0,Fri May 29 19:22:10 2009,tweetdeck stopped working on me  bahh,tweetdeck stop work bath
1,Sat May 09 21:21:43 2009,The hair looks sicckkkk.  Happy mothers day to all the mothers!,hair look sicckkkk happy mother day mother
0,Thu Jun 18 14:36:22 2009,Stephanie Pratt Tells MTV News &quot;The Hills' Did Not Make Me Bulimic&quot; http://bit.ly/n4wL4 BETTER but still &gt; half the story is missing ,stephen platt tell mt new quit hill make built quit http //bit.ly/n4wl4 better still half story miss
0,Mon May 18 06:20:12 2009,Where the hell did the weekend go??one second it was Friday and then i woke up to Monday.. sad sad sad state of afairs.. ,hell weekend go one second wa friday woke monday sad sad sad state affair 
0,Mon Jun 15 02:20:19 2009,"So, #TweetDeck was updated to fix a crash, to do so they removed the minimize to systray, which totally blows ",tweetdeck wa update fix crash remove minims astray total blow
0,Sat Jun 20 22:03:43 2009,@Fashionsourcing Thanks for the invite!! I am swamped so I won't be able to make it.  Who is leaving? Hopefully not you.,fashionsourc thank invite swamp wo make leave hope 
0,Tue Jun 16 20:59:33 2009,Really Tired Man ,really tire man
0,Sat Jun 20 06:25:36 2009,lounging about.... got a sore head ,long .... got sore head
0,Wed Jun 17 02:31:55 2009,@alexispratsides thanks. lol. sadly I am 31!! waaahhhhh ,alexispratsid thank sadly 31 waaahhhhh
1,Sun Jun 07 15:26:08 2009,Bye everyone ,bye everyone
0,Sun May 03 16:22:27 2009,studin have a test tomorrow ,studio test tomorrow
1,Mon May 18 06:09:59 2009,"NGL, Finishing that Effy/Emily fic where THEY GOT A PUPPY AND ARE IN SO MUCH LOVE ITS RIDICULOUS completely made my night. I'm ecstatic! ",nl finish effy/emili fig got puppy much love ridicule complete made night estate
1,Mon Jun 01 20:31:06 2009,"ROTFLMAO http://bit.ly/rwoHR   &quot;Muthu Kodi Kawadi Hada&quot; is tamil for &quot;Muthu, would u come for bath&quot; ... WTF! ",rotflmao http //bit.ly/rwohr quit much lodi hawaii quit tail quit much would u come bath quit ... utf
0,Thu Jun 18 18:13:29 2009,"hmm had to make a choice, decided to go to the Food Inc. reception and screening instead of hanging out at the #SCGeek dinner ",make choice decide go food inch recent screen instead hang cheek dinner
0,Mon May 18 06:10:20 2009,"tyrone  thanks for making my years at the golf course unforgettable, RIP",byron thank make year golf unforgett rip
1,Sun Apr 19 00:12:46 2009,@chuckiem Good night ,chuckled good night
0,Mon Jun 22 15:55:38 2009,Dmv physical exam for shuttle job ,physics exam shut job
1,Mon May 18 08:04:25 2009,off to play golf with my wonderful husband who took the day off...kids still in school ,play golf wonder husband took day ... kid still school
1,Sun May 31 10:15:41 2009,@MicheleKnight Awww Picasso is too cute! ,micheleknight www picasso cut
0,Tue May 26 21:12:30 2009,shower/smoke/no time for razzle dazzle ,shower/smoke/time rail dazed
0,Sun Jun 21 05:09:42 2009,I want Chinese for tea! Yet another leaflet came in through the mail slot a minute ago. Luton is really looking like a fast food haven ,want china tea yet leaflet came mail slot minute ago luzon really look like fast food 
0,Sun Jun 07 08:01:11 2009,Go away wasps ,go away 
1,Fri Jun 05 21:16:37 2009,"@jacdo Hey, Jacks, I was looking for a cool food place. Any suggestions?  *runs and hides*",jack hey jack wa look cool food place suggest run hide
0,Mon Jun 01 20:41:08 2009,love it! Andy Richter is back! but what about Joel?  ,love richer back joel
1,Sun May 31 09:15:25 2009,"@Dj_SportsChick you are going to soo love it when Pink sings Glitter in the Air during her show, soo amazing and beautiful ",dj_sportschick go love pink sing glitter air due show may beauty
0,Fri May 29 12:53:52 2009,watching Army Wives and it always makes me cry ,watch army give away make cry
0,Fri May 29 17:46:59 2009,"@johnny_trouble Ive been dealing with roomate CRAP, aside from that, nothing, cleaning ALOT and I will!! I miss abi  How have you been?",johnny_troubl give deal room cap said clean clot miss ami 
1,Sun May 31 00:05:57 2009,just got pulled over by nevada state popos!! its quite grand ,got pull nevada state pope quit grand
1,Fri May 29 11:29:13 2009,"@HisFitness thanks!  I'm the marketing/PR guy on left, my canvass leader in center and our politician on the right. Tomorrow we #MITM4E!",visit thank marketing/pr guy left canvass leader center politician right tomorrow mitka
1,Fri May 29 00:57:33 2009,@AmazingPhil  Morning Roarface ,amazingphil roarfac
0,Sun Jun 07 14:56:42 2009,my arm still hurts from when i pulled it yesterday ,arm still hurt pull yesterday
1,Mon Jun 15 22:33:57 2009,Just finished saying prayers ,finish say prayer
1,Wed Jun 03 09:41:07 2009,"@Wendym00n yeah i don't watch a lot of new movies. actually, i don't watch a lot of movies. just doctor who. ",wendym00n yeah watch lot new move actual watch lot move doctor 
1,Sun May 17 17:08:46 2009,To be precise: *public* education is the best defense against *private* deflation ,press public duc best defend privat defeat
0,Mon Jun 01 08:48:55 2009,Is at a kids party when I should be in the sun ,kid part sun
1,Wed Jun 03 03:06:49 2009,@nathalichristy les les dan less  aahahahah oi oi liburan kmn? hehe,nathalichristi le le dan less aahahahah liberal ken 
1,Sun May 17 09:50:48 2009,Just painted the rims on my car he he he ,paint rim car 
1,Tue Jun 16 07:19:13 2009,"@MATTHARDYBRAND you are so lucky to have such good friends, but I'm sure you already knew that ",matthardybrand luck good friend sure already knew 
0,Fri Jun 05 17:28:09 2009,"Finished 12 out the money in the $55 1 A+R on stars, played far too aggressive trying to build monster stack approaching bubble  x x",finish 12 money 55 1 air star play far address try build monster stick approach bubble x x
1,Fri May 29 23:36:11 2009,At kk's nani and tati's! I love her family.  going to grad night soon?,k nasi titi love family go glad night soon
1,Fri May 22 01:05:12 2009,@MaryJoRs Your back!  I thought you left us,major back thought left us
1,Tue Jun 16 00:12:36 2009,If you use StumbleUpon Please give my site The Thumbs Up  http://su.pr/1rXuPY,use stumbleupon plea give site thumb http //su.pr/1rxupi
1,Sat May 30 19:02:30 2009,@bedoggtde http://twitpic.com/6b03x - Awww my little cousin in cute... she get it from her daddy! ,bedoggtd http //twitpic.com/6b03x www little cousin cut ... get daddy
0,Sun Jun 07 06:15:51 2009,i bet i was mistaking.. nah i'm not surprised ,bet wa mistake ah surprise
0,Thu Jun 04 22:35:36 2009,@omerrr I was hoping SubZERO was an ice creap party ,merry wa hope subvert wa ice cheap part
1,Sun May 03 02:36:21 2009,@mommo9000 thanks. If you feel the need to fly I have a paitnbrush with ur name on it  and bring that Linux guru with you ;),mommo9000 thank feel need fly paitnbrush name bring line 
1,Sat May 30 19:04:43 2009,"@SupaSash11 i am a cavs fan for this series, but if they pay the lakers- ill be rooting for the lakers ",supasash11 fan peri pay layers ill root later
0,Sun Jun 14 23:08:19 2009,Stuck in the rain..... boohoo. ,stuck rain ..... boyhood
1,Sun Jun 07 17:00:29 2009,Watching T.v. whilst on the phone ,watch whilst phone
1,Sat Jun 06 19:50:35 2009,@MAYAHZONFIYA SORRIE I AIN'T GET A CHANCE 2 STICK AROUND LONGER ,mayahzonfiya sorry ai get chance 2 stick around longer
0,Fri May 29 14:56:45 2009,is goin out  to  dinner! ,going dinner
0,Wed Jun 17 08:38:57 2009,@BabyBree96  hide your kittys!! ,babybree96 hide kitty
1,Sat May 30 13:04:59 2009,prince harry is one blockk awayy x3 ,prince harris one block away x
0,Mon Jun 22 19:08:54 2009,So hungry  waiting for history to start,hungry wait history start
1,Sat May 02 01:26:04 2009,Wussup new followers!! ,wussup new follow
1,Sat May 30 08:51:35 2009,@egoodlett and @angelajames thank you both for helpin me out your very kind ,egoodlett angelajam thank helping kind
0,Sun May 10 20:25:57 2009,@David_Henrie can you say a prayer for my friend Chealse because she just lost her dad.  so i wont see her at my younglife group so ye ...,david_henri say prayer friend heal beau lost dad wont see younglif group ye ...
0,Mon Jun 15 17:48:50 2009, today sucks,today suck
1,Sat Jun 06 18:23:46 2009,r @rafaelvandyke Found a hole in 11YO son's bedroom wall. Momma was not happy! &gt; Were there toys strategically stacked over it? ,r rafaelvandyk found hole mayo son bedroom wall mamma wa happy toy strategy stick 
0,Wed Jun 03 07:25:10 2009,"have a headache, but that won't keep me from my twitter! so, tired of all the gossip, my heart breaks everytime his name and HER come up ",headache wo keep twitter tire gossip heart break everytim hi name come 
1,Sun May 03 03:32:04 2009,6 daays until i go away on duke of ed. im like really excited ,6 day go away duke ed like really exit
0,Sun Jun 21 03:15:58 2009,I miss my baby; I know he's sleep @ his grandma house missin his mommy ,miss baby know sleep hi grand mission hi mamma
0,Fri Jun 05 18:18:51 2009,Totally bummed out that I won't see my buddy Nels on Monday ,total wo see muddy new monday
0,Wed Jun 17 01:56:40 2009,"I have a Celine Dion song stuck in my head.    That statement is sort of a summary of how things have gone today.  Okay, not THAT bad. O:/",cells song stuck head statement sort summary thing gone today okay bad 
0,Thu Jun 18 05:49:49 2009,Good morning twitter! I set the microwave @ work on fire again!!! not allowed 2 use it anymore  &amp; ppl wonder why I dont hav 1 @ home.,good twitter set microwav work fire allow 2 use anymore amp pp wonder dont 1 home
1,Sun Jun 07 01:07:32 2009,@rainbowsleeve thanks for passing on the word re: no plastic bags petition (http://tinyurl.com/dk5p94) ,rainbowsleev thank pass word plastic bag petit http //tinyurl.com/dk5p94
0,Sun May 03 09:45:17 2009,"small problem when testing the php/mysql demo, need to use two seperate browsers to test otherwise the cookie code gives me same name ",small problem test php/mysql domo need use two super brother test cook code give name
0,Mon Jun 01 15:24:32 2009,"@ChrisCavs I could send you some of the spam replies I got after that tweet, probably won't help though. ",chriscav could send spasm reply got sweet probably wo help though
1,Thu May 21 23:56:32 2009,yeah its raining .. gonna be a good cycle in ,yeah rain na good cycle 
1,Tue Jun 02 05:42:17 2009,@shaundiviney  Maybe one from Oasis ,shaundiviney may one nasi
1,Tue Apr 07 04:04:39 2009,@stephenfry Few things I've found better for settling myself in after a long trip than wandering around London. ,stephenfri thing found better settle long trip wander around london
1,Sun Jun 07 07:01:25 2009,Im in such a happy mood again ,happy mood 
0,Mon Jun 01 11:01:51 2009,"I can't believe an entire plane full of people, a BIG plane full of people just disappeared. This is absolutely screwed up. ",ca believe enter plane full people big plane full people disappear absolute screw 
0,Mon May 18 07:19:41 2009,@pinkkpaiige12  What's going on? ,pinkkpaiige12 go 
0,Fri May 29 10:46:55 2009,Pooping in a Pennsylvania rest stop!  I hate using public toilets ,poor pennsylvania rest stop hate use public toilet
0,Sat May 30 09:39:43 2009,Enjoy No Doubt! They r sold out in Houston....  ,enjoy doubt r sold houston ....
0,Thu Jun 25 05:54:29 2009,Ate too much shit at lunch  Feel sick now!,ate much shit lunch feel sick 
0,Tue Jun 16 16:08:47 2009,@BrettKloesel yeah thanks for the rude post. Didn't see it till after I posted that last one. Nice ,brettkloesel yeah thank rude post see till post last one nice
1,Sat Jun 06 17:09:09 2009,@zate all i can say is that no technical people had any part in the decision making process ,late say tetanic people part deck make process
1,Mon Jun 01 04:27:24 2009,@edlee I guess someone had to step up and declare that Twitter is over-hyped. Certainly attracts the spotlight. ,ed guess someone step declare twitter -hyp certainly attract spotlight
0,Mon May 18 00:39:00 2009,no work tomorrow ,work tomorrow
0,Sat Jun 20 04:17:38 2009,"and my poor daughter (Vero, 16) is on a Rock festival for this weekend...hope she will not drown or get a cold ",poor daughter 16 rock festive weekend ... hope drown get cold
0,Fri Jun 19 08:29:19 2009,Its so early for me to be up!!  im going campening!,early go campan
0,Thu Jun 18 16:45:07 2009,I really really really wanna go see Maxwell in concert....his tickets are mad expensive tho ,really really really wan na go see maxwell concert .... hi ticket mad expel 
0,Sun May 03 08:34:50 2009,@laurenbotzspons I wish I knew why your life was redic. ,laurenbotzspon wish knew life wa relic
0,Tue Jun 02 01:41:44 2009,Is on his way home after work. And thinks it's sad the missing 14 y/o was found in the Yarra. His poor family ,hi way home work think sad miss 14 wa found area hi poor family
0,Mon Jun 01 06:36:11 2009,@tommcfly @dougiemcfly @dannymcfly @mcflyharry THE PHILIPPINES NEEDS YOU! PLEASE COME HERE  #mcflyinmanila #mcflyinmanila #mcflyinmanila,tommcfli dougiemcfli dannymcfli mcflyharri philippine need plea come mcflyinmanila mcflyinmanila mcflyinmanila
1,Sat May 09 23:01:45 2009,Selling artwork+ risk game with the boys+ startrek= just what i needed. What a good day ,sell artwork+ risk game boys startrek= need good day
0,Tue Jun 16 21:40:54 2009,I'm ready for bed...Madi not so much ,ready bed ... made much
1,Sun Jun 14 23:09:39 2009,@DonnieWahlberg It's a blessing to c u! Especially meeting u in Pittsburgh! 1 of the best nights of my life! It was an honor meeting u ,donniewahlberg bless c u respect meet u pittsburgh 1 best night life wa honor meet u
1,Thu May 14 03:52:26 2009,@softandpoofyone Not beofre I get back to see ya! ,softandpoofyon get back see 
1,Mon Jun 01 16:11:21 2009,"Thas You....that talks about your homies behind they back,but you always with em ery location he be at.....thas you!!!! Gotta love z-ro ",.... talk home behind back away em peri local ..... got ta love zero
0,Sun May 03 02:11:24 2009,@RealKidPoker You're in Wolverine?! Now I know I'm never gonna receive a Twitter reply or get to meet u during my Vegas trip this year. ,realkidpok wolverin know never na receive twitter reply get meet u due vera trip year
1,Wed Jun 03 07:41:28 2009,@twishmay I'm working on something for my office. and its cool ,twishmay work cometh office cool
1,Sat May 30 03:35:32 2009,@TheRoundDiet Hey! Love the idea of a round diet  Are you books on Amazon yet?,therounddiet hey love idea round diet book amazon yet
1,Fri Jun 05 18:19:57 2009,@romaineami I know.  I love how we're havin two different convos in two different places. what next ? a diff convo on myspace ? lol,romaineami know love two differ convoy two differ place next convoy mystic 
1,Tue Jun 02 06:32:37 2009,"Green Day and livelavalive = new IDOLS... Sorry Lacey, but your awesome voice cannot compare... i hope you'll settle for number three  ...",green day lively new idol ... sorry lace awesom voice compare ... hope settle number three ...
0,Sun Jun 07 06:04:19 2009,@rayamartin ang gandaaa &lt;3  gusto ko rin ng fresh croissant. mmm,rayamartin gandaaa 3 gusto fresh croissant mmm
1,Wed Jun 03 09:30:52 2009,@Joenid ... spreading the love ...  *waves* HI !!!,joined ... spread love ... wave hi
1,Sun Jun 07 02:29:40 2009,Wow. Night out with my LSs.. Slightly inebriated and on South Beach... PRICELESS ,night less slightly inert south beach ... priceless
1,Mon Jun 15 01:16:56 2009,Very Excited....!!! Leaving for Alton Towers in 16 Hours  ,exit .... leave alton tower 16 hour
0,Sun Jun 07 11:29:20 2009,@Affan a freaking pandora app!!!!!!!!!!!!! there is last.fm and imeem but no pandora ,affair freak candor pp last.fm meet candor
0,Fri Jun 19 06:24:28 2009,Georgia theatre badly burned  Lots of smoke and lots of street lights out dt,georgia theater badly burn lot smoke lot street light 
