an,ap,ar,as,br,ch,ct,date,dateymd,dd,dl,dn,ga,gj,hp,hr,jh,jk,ka,kl,la,ld,mh,ml,mn,mp,mz,nl,or,pb,py,rj,sk,status,tg,tn,tr,tt,un,up,ut,wb
0,0,0,0,0,0,0,19-Mar-20,2020-03-19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,5,0,4,0,0
0,0,0,0,0,0,0,19-Mar-20,2020-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Deceased,0,0,0,1,0,0,0,0
0,0,0,0,0,4,0,20-Mar-20,2020-03-20,0,6,0,0,5,2,2,0,0,0,12,2,0,4,0,0,4,0,0,0,1,0,8,0,Confirmed,3,0,0,58,0,4,0,1
0,0,0,0,0,0,0,20-Mar-20,2020-03-20,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,20-Mar-20,2020-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deceased,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,21-Mar-20,2020-03-21,0,7,0,0,7,0,2,0,0,5,12,3,0,12,0,0,0,0,0,0,10,0,7,0,Confirmed,2,3,0,78,0,4,0,2
0,0,0,0,0,0,0,21-Mar-20,2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,21-Mar-20,2020-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deceased,0,0,0,0,0,0,0,0
0,1,0,0,2,1,0,22-Mar-20,2020-03-22,0,0,0,0,4,0,0,0,0,6,15,0,0,10,0,0,2,0,0,0,8,0,4,0,Confirmed,6,3,0,67,0,2,0,3
0,0,0,0,0,0,0,22-Mar-20,2020-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,22-Mar-20,2020-03-22,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Deceased,0,0,0,3,0,0,0,0
0,1,0,0,1,1,0,23-Mar-20,2020-03-23,0,3,0,0,12,1,7,0,0,7,28,0,0,23,0,0,0,0,0,0,2,0,4,0,Confirmed,6,3,0,102,0,2,1,0
0,0,0,0,0,0,0,23-Mar-20,2020-03-23,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,12,0,0,0,0
0,0,0,0,0,0,0,23-Mar-20,2020-03-23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deceased,0,0,0,2,0,0,0,1
0,1,0,0,0,0,0,24-Mar-20,2020-03-24,0,0,0,0,4,0,2,0,2,8,14,0,0,10,0,1,1,0,0,0,6,0,0,0,Confirmed,4,6,0,64,0,3,0,2
0,0,0,0,0,0,0,24-Mar-20,2020-03-24,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,5,0,2,0,0
0,0,0,0,0,0,0,24-Mar-20,2020-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Deceased,0,1,0,1,0,0,0,0
0,2,0,0,1,0,2,25-Mar-20,2020-03-25,0,5,0,3,4,0,1,0,5,10,9,0,0,15,0,0,8,1,0,0,2,0,6,0,Confirmed,4,8,0,90,0,3,1,0
0,1,0,0,0,0,0,25-Mar-20,2020-03-25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,25-Mar-20,2020-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Deceased,0,0,0,1,0,0,0,0
1,1,0,0,3,0,3,26-Mar-20,2020-03-26,0,1,0,0,5,0,1,0,3,4,19,0,0,3,0,0,5,0,0,1,2,0,2,0,Confirmed,3,3,0,65,0,4,0,1
0,0,0,0,0,0,0,26-Mar-20,2020-03-26,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,7,0,0,0,0
0,0,0,0,0,0,0,26-Mar-20,2020-03-26,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Deceased,0,0,0,5,0,0,0,0
5,2,0,0,2,1,0,27-Mar-20,2020-03-27,0,4,0,0,4,0,1,0,6,9,39,0,0,31,0,0,9,0,0,0,5,0,10,0,Confirmed,15,9,0,164,0,7,0,5
0,0,0,0,0,0,0,27-Mar-20,2020-03-27,0,0,0,0,0,1,0,0,0,2,0,3,0,18,0,0,0,0,0,0,1,0,0,0,Recovered,0,1,0,26,0,0,0,0
0,0,0,0,0,0,0,27-Mar-20,2020-03-27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Deceased,0,0,0,3,0,0,0,0
3,6,0,0,2,0,1,28-Mar-20,2020-03-28,0,9,0,0,8,0,2,0,13,17,6,0,0,30,0,0,10,0,0,0,0,0,4,0,Confirmed,8,4,0,143,0,16,1,3
0,0,0,0,0,0,0,28-Mar-20,2020-03-28,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,9,0,0,1,0
0,0,0,0,0,0,0,28-Mar-20,2020-03-28,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,Deceased,1,0,0,5,0,0,0,0
0,2,0,0,4,0,0,29-Mar-20,2020-03-29,0,23,0,2,8,0,0,0,5,2,20,0,0,17,0,0,0,0,0,0,0,0,5,0,Confirmed,3,8,0,110,0,7,1,3
0,0,0,0,0,0,0,29-Mar-20,2020-03-29,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,29-Mar-20,2020-03-29,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Deceased,0,0,0,3,0,0,0,0
1,2,0,0,0,5,1,30-Mar-20,2020-03-30,0,25,0,0,7,0,1,0,11,5,32,0,0,17,0,0,8,0,0,0,3,0,20,0,Confirmed,7,17,0,187,0,24,0,1
0,0,0,0,0,0,0,30-Mar-20,2020-03-30,0,0,0,0,2,0,6,0,0,1,4,0,0,14,0,0,0,0,0,0,0,0,0,0,Recovered,13,2,0,49,0,6,1,0
0,0,0,0,0,0,0,30-Mar-20,2020-03-30,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,Deceased,5,0,0,13,0,0,0,1
0,21,0,1,6,2,1,31-Mar-20,2020-03-31,0,23,0,0,4,0,7,1,6,13,7,0,0,82,0,0,19,0,0,1,1,0,14,0,Confirmed,20,57,0,309,0,8,0,15
0,0,0,0,0,0,2,31-Mar-20,2020-03-31,0,0,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Recovered,0,2,0,15,0,0,0,3
0,0,0,0,0,0,0,31-Mar-20,2020-03-31,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,Deceased,0,0,0,6,0,0,0,1
0,67,0,15,3,2,0,01-Apr-20,2020-04-01,0,32,0,0,13,0,0,0,7,9,24,0,0,33,0,0,32,0,0,1,4,2,27,0,Confirmed,30,110,0,424,0,13,0,0
0,1,0,0,0,0,0,01-Apr-20,2020-04-01,0,0,0,0,0,0,10,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,Recovered,0,0,0,16,0,0,0,0
0,0,0,0,0,0,0,01-Apr-20,2020-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,Deceased,3,0,0,9,0,2,0,0
0,38,1,0,5,1,0,02-Apr-20,2020-04-02,0,141,0,0,1,3,6,1,8,14,21,0,0,88,0,1,9,0,0,0,1,2,13,0,Confirmed,27,75,0,486,0,11,3,16
0,0,0,0,3,0,1,02-Apr-20,2020-04-02,0,2,0,0,5,0,0,0,1,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,Recovered,3,0,0,22,0,0,0,0
0,0,0,0,0,0,0,02-Apr-20,2020-04-02,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,1,0,0,0,Deceased,0,0,0,14,0,0,0,0
0,15,0,7,2,0,0,03-Apr-20,2020-04-03,0,93,0,1,7,0,9,0,5,4,9,1,0,64,0,0,47,0,0,15,6,0,46,0,Confirmed,75,102,0,560,0,46,6,0
0,0,0,0,0,0,0,03-Apr-20,2020-04-03,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0,0,0,1,0,0,0,0,Recovered,15,0,0,38,0,0,0,0
0,1,0,0,0,0,0,03-Apr-20,2020-04-03,0,2,0,0,2,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,Deceased,2,0,0,14,0,0,0,0
0,28,0,3,1,0,1,04-Apr-20,2020-04-04,0,59,0,1,13,7,26,0,17,16,11,0,0,148,0,0,25,0,0,1,12,0,27,0,Confirmed,43,74,0,579,0,60,6,0
0,0,0,0,0,3,0,04-Apr-20,2020-04-04,0,8,0,0,3,0,1,0,0,0,8,0,0,2,0,0,0,0,0,0,2,0,22,0,Recovered,1,2,0,56,0,4,0,0
0,0,0,0,0,0,0,04-Apr-20,2020-04-04,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,1,0,Deceased,0,2,0,13,0,0,0,0
0,64,0,0,0,0,0,05-Apr-20,2020-04-05,0,58,0,0,20,1,6,1,14,7,8,0,0,112,0,0,14,0,0,18,3,0,60,0,Confirmed,62,86,0,609,0,44,4,27
0,3,0,0,0,2,5,05-Apr-20,2020-04-05,0,0,0,0,8,0,0,0,1,1,6,0,0,4,0,0,3,0,0,0,1,0,0,0,Recovered,0,0,0,43,0,0,2,7
0,0,0,0,0,0,0,05-Apr-20,2020-04-05,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,2,0,0,0,Deceased,0,2,0,22,0,1,0,0
0,47,0,0,0,0,0,06-Apr-20,2020-04-06,0,22,0,0,18,4,20,1,3,12,13,0,0,121,0,0,63,0,0,1,11,0,35,0,Confirmed,30,50,1,484,0,27,5,0
0,0,0,0,6,0,0,06-Apr-20,2020-04-06,0,0,0,0,1,0,0,0,0,8,3,7,0,14,0,1,8,0,0,0,0,0,0,0,Recovered,12,5,0,65,0,0,0,0
0,2,0,0,0,0,0,06-Apr-20,2020-04-06,0,0,0,0,1,0,2,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,1,0,Deceased,0,1,0,16,0,0,0,0
0,11,0,2,6,0,0,07-Apr-20,2020-04-07,0,51,0,0,29,9,33,0,16,12,9,0,0,150,0,0,34,0,0,2,20,0,42,0,Confirmed,40,69,0,572,0,27,0,11
0,0,0,0,6,2,1,07-Apr-20,2020-04-07,0,4,0,0,3,1,2,0,0,5,12,0,0,9,0,0,10,0,0,0,10,1,0,0,Recovered,0,6,0,75,0,0,0,3
0,1,0,0,0,0,0,07-Apr-20,2020-04-07,0,2,0,0,2,0,0,0,1,0,0,0,0,12,0,0,6,0,0,1,1,0,0,0,Deceased,0,1,0,27,0,0,0,0
1,34,0,0,1,0,0,08-Apr-20,2020-04-08,0,93,0,0,11,0,24,0,33,6,9,0,0,117,0,0,51,0,0,0,7,0,40,0,Confirmed,49,48,0,565,0,29,4,8
0,1,0,0,0,0,0,08-Apr-20,2020-04-08,0,1,0,0,0,0,1,0,2,3,13,0,0,38,0,0,4,0,0,0,0,0,20,0,Recovered,0,2,0,96,0,10,1,0
0,0,0,0,0,0,0,08-Apr-20,2020-04-08,0,0,0,0,2,0,0,0,0,1,0,0,0,8,0,0,3,0,0,0,1,0,1,0,Deceased,0,1,0,20,0,1,0,2
0,15,0,1,19,0,8,09-Apr-20,2020-04-09,0,51,0,0,76,1,3,9,26,16,12,0,0,229,0,0,70,0,0,6,24,0,80,0,Confirmed,18,96,0,813,0,49,0,4
10,4,0,0,0,0,0,09-Apr-20,2020-04-09,0,4,0,0,1,0,0,0,0,2,13,0,0,8,0,0,0,0,0,0,4,0,15,0,Recovered,0,6,0,70,0,0,0,3
0,2,0,0,0,0,0,09-Apr-20,2020-04-09,0,3,0,0,2,0,0,1,1,1,0,0,0,25,0,0,9,0,0,0,1,0,0,0,Deceased,1,0,0,46,0,0,0,0
0,18,0,0,2,1,0,10-Apr-20,2020-04-10,0,183,0,0,116,0,6,1,23,10,7,1,0,210,0,0,40,0,0,2,21,2,98,0,Confirmed,16,77,1,871,0,23,0,13
0,0,0,0,0,0,0,10-Apr-20,2020-04-10,0,2,0,1,7,0,4,0,0,4,27,1,0,63,0,0,12,0,0,10,2,0,0,0,Recovered,0,17,0,151,0,1,0,0
0,0,0,1,0,0,0,10-Apr-20,2020-04-10,0,2,0,0,1,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,1,0,0,0,Deceased,0,1,0,22,0,0,0,0
0,24,0,0,4,0,7,11-Apr-20,2020-04-11,0,166,0,0,90,4,3,3,17,8,10,0,0,187,0,0,78,0,0,4,7,0,139,0,Confirmed,16,58,0,854,0,19,0,10
0,0,0,0,0,0,0,11-Apr-20,2020-04-11,0,0,0,4,11,6,0,0,0,5,19,0,0,20,0,0,1,0,0,0,0,0,56,0,Recovered,51,0,0,186,0,13,0,0
0,0,0,0,0,0,0,11-Apr-20,2020-04-11,0,5,0,0,3,0,0,0,0,0,1,0,0,17,0,0,4,0,0,0,1,0,6,0,Deceased,2,1,0,40,0,1,0,0
0,15,0,1,0,2,6,12-Apr-20,2020-04-12,0,85,0,0,48,0,16,2,21,17,2,0,0,221,0,0,33,0,0,0,12,0,104,0,Confirmed,28,106,0,758,0,31,0,8
0,2,0,0,11,0,1,12-Apr-20,2020-04-12,0,1,0,0,0,4,8,0,0,15,36,0,0,9,0,0,3,0,0,0,3,0,5,0,Recovered,7,6,0,114,0,0,0,3
0,1,0,0,0,0,0,12-Apr-20,2020-04-12,0,5,0,0,2,0,1,1,0,0,0,0,0,22,0,0,3,0,0,0,0,0,2,0,Deceased,2,1,0,42,0,0,0,2
0,19,0,2,2,0,0,13-Apr-20,2020-04-13,0,356,0,0,56,0,1,5,25,15,3,2,0,352,1,0,52,0,0,1,6,0,93,0,Confirmed,61,98,0,1243,0,75,0,18
0,0,0,0,2,0,0,13-Apr-20,2020-04-13,0,3,0,0,10,0,7,0,10,6,19,1,0,12,0,0,10,0,0,6,2,0,0,0,Recovered,0,8,0,112,0,4,2,10
0,0,0,0,0,0,0,13-Apr-20,2020-04-13,0,4,0,0,2,0,0,0,0,2,0,0,0,11,0,0,7,0,0,0,0,0,0,0,Deceased,1,0,0,27,0,0,0,0
0,45,0,1,0,0,2,14-Apr-20,2020-04-14,0,51,0,0,78,1,2,3,8,13,8,0,0,346,0,0,127,0,0,5,8,0,108,0,Confirmed,52,31,0,1031,0,102,2,38
0,4,0,0,1,0,3,14-Apr-20,2020-04-14,0,0,0,0,5,1,4,0,14,11,13,0,0,30,0,0,13,0,0,0,2,0,26,0,Recovered,7,23,0,167,0,1,2,7
0,4,0,0,0,0,0,14-Apr-20,2020-04-14,0,2,0,0,2,0,0,0,0,2,0,0,0,18,0,0,3,0,0,0,1,0,0,0,Deceased,1,1,0,37,0,3,0,0
0,41,0,0,6,0,0,15-Apr-20,2020-04-15,0,17,0,0,116,2,6,1,22,19,1,1,0,236,6,0,197,0,0,0,2,0,71,0,Confirmed,6,38,0,886,0,75,0,23
0,4,1,2,0,2,4,15-Apr-20,2020-04-15,0,10,0,1,5,0,2,0,6,9,7,0,0,36,0,0,0,0,0,1,0,0,0,0,Recovered,8,37,1,144,0,7,0,1
0,3,0,0,0,0,0,15-Apr-20,2020-04-15,0,2,0,0,5,0,0,0,0,2,0,0,0,9,1,0,0,0,0,0,0,0,0,0,Deceased,0,2,0,27,0,3,0,0
0,9,0,2,11,0,3,16-Apr-20,2020-04-16,0,62,0,0,163,0,11,1,14,36,7,0,0,285,2,0,226,0,0,0,11,0,55,0,Confirmed,50,25,0,1061,0,70,0,18
1,0,0,3,8,0,6,16-Apr-20,2020-04-16,0,11,0,0,9,3,8,0,2,2,27,2,0,5,0,0,6,0,0,0,2,0,17,0,Recovered,68,62,0,258,0,11,0,5
0,0,0,0,0,0,0,16-Apr-20,2020-04-16,0,6,0,0,3,0,0,0,0,1,0,0,0,7,0,0,2,0,0,0,1,0,0,0,Deceased,0,1,0,26,0,2,0,3
1,38,0,0,2,0,0,17-Apr-20,2020-04-17,0,67,0,0,170,3,8,3,14,44,1,0,0,120,0,0,146,0,0,0,14,0,98,0,Confirmed,66,56,0,922,0,44,3,24
0,15,0,4,0,0,1,17-Apr-20,2020-04-17,0,20,0,0,13,0,21,0,4,6,10,0,0,31,0,0,0,0,0,2,1,0,19,0,Recovered,0,103,0,273,0,14,0,9
0,0,0,0,0,0,0,17-Apr-20,2020-04-17,0,4,0,0,5,0,0,0,1,0,0,0,0,7,0,0,14,0,0,0,0,0,6,0,Deceased,0,0,0,38,0,1,0,0
2,31,0,0,1,2,0,18-Apr-20,2020-04-18,0,186,0,0,277,1,9,1,13,25,4,0,0,327,2,0,92,0,0,1,23,0,122,0,Confirmed,43,49,0,1371,0,126,2,32
0,7,0,3,5,0,1,18-Apr-20,2020-04-18,0,135,0,0,7,0,14,0,9,16,2,0,0,34,0,0,57,0,0,3,1,3,17,0,Recovered,0,82,0,426,0,26,0,4
0,2,0,0,1,0,0,18-Apr-20,2020-04-18,0,1,0,0,12,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,2,0,4,0,Deceased,0,0,0,35,0,0,0,2
1,44,0,0,10,3,0,19-Apr-20,2020-04-19,0,110,0,0,367,0,18,8,13,6,2,0,0,552,0,0,5,0,0,0,10,0,127,0,Confirmed,49,105,0,1580,0,125,2,23
0,23,0,5,0,4,0,19-Apr-20,2020-04-19,0,83,0,1,12,0,4,0,5,7,13,0,0,142,0,0,4,0,0,0,6,0,5,0,Recovered,0,46,0,388,0,19,2,7
0,1,0,0,0,0,0,19-Apr-20,2020-04-19,0,2,0,0,10,0,0,0,0,2,0,0,0,12,0,0,3,0,0,0,0,0,2,0,Deceased,3,0,0,38,0,3,0,0
1,75,0,0,17,0,0,20-Apr-20,2020-04-20,0,78,0,0,196,0,1,5,14,18,6,0,0,466,0,0,78,0,0,13,1,0,98,0,Confirmed,14,43,0,1239,0,84,2,29
0,27,0,2,0,1,0,20-Apr-20,2020-04-20,0,141,0,0,26,0,37,4,15,1,21,0,0,65,0,1,7,0,0,0,1,0,0,0,Recovered,0,46,0,419,0,13,7,4
0,3,0,0,0,0,0,20-Apr-20,2020-04-20,0,2,0,0,8,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,2,0,Deceased,2,2,0,33,0,1,0,0
1,35,0,0,13,1,0,21-Apr-20,2020-04-21,0,75,0,0,239,0,4,0,12,10,19,0,0,552,1,0,67,0,0,5,6,0,159,0,Confirmed,56,76,0,1537,0,153,0,53
0,4,0,0,0,0,0,21-Apr-20,2020-04-21,0,180,0,0,8,0,6,0,10,17,16,0,0,150,0,0,10,0,0,6,11,0,69,0,Recovered,8,178,0,703,0,22,1,7
0,2,0,0,0,0,0,21-Apr-20,2020-04-21,0,0,0,0,19,0,0,0,0,1,0,0,0,19,0,0,4,0,0,0,0,0,1,0,Deceased,0,1,0,53,0,3,0,3
1,56,0,0,17,0,0,22-Apr-20,2020-04-22,0,92,0,0,229,0,9,0,27,9,11,0,0,431,0,0,35,0,0,4,27,0,153,0,Confirmed,15,33,0,1292,0,112,0,31
0,24,0,0,0,0,3,22-Apr-20,2020-04-22,0,113,0,0,40,0,11,0,11,2,1,0,0,67,0,0,4,0,0,2,4,0,70,0,Recovered,0,27,0,394,0,11,4,0
0,2,0,0,0,0,0,22-Apr-20,2020-04-22,0,1,0,0,13,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,Deceased,1,0,0,36,0,0,0,0
4,80,0,1,27,0,0,23-Apr-20,2020-04-23,0,128,0,0,217,1,6,7,27,18,10,0,0,778,0,0,100,0,0,6,5,0,76,0,Confirmed,27,54,0,1667,0,61,1,33
0,21,0,0,2,0,2,23-Apr-20,2020-04-23,0,84,0,0,79,2,12,4,0,14,8,2,0,51,0,0,51,0,0,1,13,0,107,0,Recovered,58,90,1,642,0,33,1,6
0,3,0,0,0,0,0,23-Apr-20,2020-04-23,0,2,0,0,9,0,0,1,0,0,0,0,0,14,0,0,3,0,0,0,1,0,1,0,Deceased,1,2,0,40,0,3,0,0
7,62,0,0,53,0,0,24-Apr-20,2020-04-24,0,138,0,0,191,0,5,6,20,29,3,0,0,390,0,0,159,0,0,5,15,0,70,0,Confirmed,13,72,0,1408,0,111,1,58
0,4,0,0,0,1,0,24-Apr-20,2020-04-24,0,49,0,0,7,0,16,0,17,7,15,0,0,117,0,0,7,0,0,0,4,0,42,0,Recovered,39,114,0,484,0,20,1,24
0,2,0,0,0,0,0,24-Apr-20,2020-04-24,0,3,0,0,15,0,0,0,0,1,1,0,0,18,0,0,9,0,0,0,0,0,4,0,Deceased,0,2,0,59,0,1,0,3
4,61,0,0,28,1,1,25-Apr-20,2020-04-25,0,111,0,0,256,0,12,8,40,26,7,2,0,811,0,0,99,0,0,6,10,1,49,0,Confirmed,7,66,0,1835,0,172,0,57
0,26,0,0,1,0,2,25-Apr-20,2020-04-25,0,12,0,0,17,4,5,0,3,6,7,0,0,119,0,0,71,0,0,1,2,0,20,0,Recovered,16,94,0,442,0,35,1,0
0,2,0,0,0,0,0,25-Apr-20,2020-04-25,0,1,0,0,6,0,0,0,1,0,0,0,0,22,0,0,7,0,0,0,0,0,2,0,Deceased,0,1,0,44,0,2,0,0
0,81,0,0,26,8,0,26-Apr-20,2020-04-26,0,293,0,0,230,0,9,15,29,3,11,0,0,440,0,0,145,0,0,3,14,0,102,0,Confirmed,11,64,0,1607,0,80,3,40
0,60,0,8,11,2,0,26-Apr-20,2020-04-26,0,8,0,0,31,0,8,5,25,24,4,0,0,112,0,0,21,0,0,1,12,0,116,0,Recovered,9,60,0,585,0,66,0,2
0,0,0,0,0,0,0,26-Apr-20,2020-04-26,0,0,0,0,18,0,0,0,0,1,0,0,0,19,0,0,4,0,0,0,1,0,7,0,Deceased,0,1,0,56,0,3,0,2
0,80,0,0,69,9,0,27-Apr-20,2020-04-27,0,190,0,0,247,0,5,21,23,9,13,0,0,522,0,0,75,0,0,15,8,0,77,0,Confirmed,2,52,0,1568,0,113,0,38
0,4,0,0,0,0,0,27-Apr-20,2020-04-27,0,0,0,0,81,3,14,4,27,11,13,0,0,94,0,0,55,0,0,2,14,1,115,0,Recovered,16,54,0,580,0,72,0,0
0,0,0,0,0,0,0,27-Apr-20,2020-04-27,0,0,0,0,11,0,0,0,1,1,0,0,0,27,0,0,7,0,0,0,1,0,9,0,Deceased,0,0,0,58,0,1,0,0
0,82,0,2,20,11,1,28-Apr-20,2020-04-28,0,206,0,0,226,0,7,2,19,11,4,2,0,728,0,0,222,0,0,0,12,0,102,0,Confirmed,6,121,0,1902,0,67,3,48
4,23,0,0,8,0,2,28-Apr-20,2020-04-28,0,201,0,0,40,0,11,2,12,14,4,0,0,106,0,0,16,0,0,1,3,0,26,0,Recovered,42,54,0,636,0,63,0,4
0,0,0,0,0,0,0,28-Apr-20,2020-04-28,0,0,0,0,19,0,0,0,1,0,0,0,0,31,0,0,10,0,0,0,0,0,2,0,Deceased,0,1,0,69,0,3,0,2
0,73,0,0,37,12,0,29-Apr-20,2020-04-29,0,125,0,0,308,0,3,2,16,12,10,0,0,597,0,0,173,0,0,7,33,0,76,0,Confirmed,7,104,0,1705,0,81,1,28
